Model,Train_RMSE,Test_RMSE,Test_R2,Test_MAE
OLS,5.284907400828474,6.758462443021311,0.6894698911760965,5.4017224457239665
Ridge (lambda=2),5.286481793008622,6.757064330589428,0.6895983556316432,5.385798689736308
Ridge (lambda=1),5.285306025320863,6.757428578970812,0.6895648895172417,5.392455088003464
Ridge (lambda=100),6.633961641808016,7.84903231993442,0.5811677250407303,5.867861087124553
Ridge (lambda=300),8.625981371666581,9.626793939405617,0.36995545206217795,7.1760683428337915
Ridge (lambda=600),9.818916317551547,10.729091879835817,0.2174108275907386,8.231405711768634
